Price,Area
5400000,650
5300000,660
5500000,550
5000000,570
11000000,1415
14000000,1550
17100000,1760
16000000,1750
11800000,1475
6000000,759
4850000,600
4300000,640
4500000,550
4100000,620
5000000,550
5500000,745
4500000,580
5000000,570
5300000,670
19000000,1845
15500000,1700
13500000,1400
13600000,1680
15500000,1645
16500000,1585
8600000,1350
10000000,1075
10500000,1155
4700000,625
6200000,720
4500000,550
6900000,735
4500000,580
10000000,1505
13000000,1630
11000000,1550
13000000,1455
16000000,1750
10500000,1098
13000000,1210
9500000,1000
4500000,550
11000000,1550
11000000,1550
13000000,1630
13600000,1680
16200000,1650
15000000,1440
13200000,1370
7500000,1022
9500000,1000
15000000,1760
7500000,1100
13000000,1550
16200000,1675
11000000,1060
11600000,1150
5600000,670
8000000,900
9500000,1088
2018000,375
65000000,1200
45000000,1717
16500000,750
2375000,525
19500000,1200
2000000,420
2500000,540
2250000,415
2700000,650
22000000,1100
17000000,1105
43500000,2600
4760000,700
18100000,1296
23800000,1638
21200000,1465
8600000,700
36500000,2030
23700000,1450
21400000,1100
12500000,800
18000000,1500
13200000,1100
35300000,1962
15300000,950
25000000,1440
13899999,1200
33500000,1785
14500000,775
9000000,765
13500000,910
9000000,640
21600000,1264
13700000,1056
27799999,1810
27900000,1656
81600000,3888
38600000,2030
17000000,1114
60100000,3585
27900000,1404
31500000,1620
37500000,2780
31000000,1672
21100000,1200
16500000,1200
16000000,1250
26000000,1840
15200000,1170
2300000,310
33000000,1245
29000000,1153
11200000,573
9000000,1100
8500000,1135
9000000,1060
11500000,560
12100000,1150
11000000,1054
27000000,1695
21600000,1579
30200000,2153
41200000,1872
30500000,1717
36700000,1675
23800000,1672
20500000,1457
5500000,425
9000000,560
32500000,1200
8500000,575
8500000,575
9000000,400
2500000,300
5500000,400
8000000,650
27500000,1600
11500000,860
35900000,1320
42000000,1200
33100000,1320
106000000,2826
101400000,2880
32500000,997
18500000,1038
11000000,600
9200000,400
50100000,2800
33000000,1400
34100000,1500
21800000,1412
21800000,1412
21200000,1412
3000000,545
11000000,585
17900000,1000
19500000,1050
19500000,1014
16000000,900
11500000,600
10500000,700
6400000,1550
90000000,5245
2100000,529
3600000,530
9200000,1260
9000000,1260
9200000,1150
5300000,690
15500000,1240
9500000,1260
9000000,1240
10100000,1265
10800000,1260
11000000,1255
7200000,1055
7000000,1060
12700000,1238
8500000,1150
8500000,1165
7700000,1080
11000000,1470
6000000,610
9200000,1180
15000000,1735
11000000,1230
4500000,599
8800000,980
16500000,1654
16800000,1665
16299999,1640
15500000,1650
4900000,980
3400000,730
4800000,1020
6200000,1075
33700000,1600
50100000,2800
10700000,715
15000000,1016
18500000,1000
17600000,1100
7000000,1060
12700000,1238
8500000,1150
8500000,1165
7700000,1080
11000000,1470
6000000,610
9200000,1180
15000000,1735
11000000,1230
4500000,599
8800000,980
16500000,1654
16800000,1665
16299999,1640
15500000,1650
5000000,578
5000000,650
4000000,600
5000000,600
6250000,625
4800000,600
3800000,560
3600000,580
4400000,530
5000000,650
9000000,1450
2600000,380
2600000,400
21000000,620
4900000,980
3400000,730
4800000,1020
6200000,1075
18500000,1038
19600000,1250
18600000,1067
21500000,1200
11000000,780
13799999,1020
14000000,671
22000000,1650
14500000,1360
25000000,1600
11500000,1250
4000000,750
2500000,450
2300000,410
45000000,1168
5700000,516
9600000,900
2010000,600
2005000,575
2548000,675
2492000,660
2418000,640
2400000,690
21700000,900
16700000,1150
2900000,350
11500000,950
21700000,900
4000000,620
6400000,980
6900000,950
7500000,890
5425000,619
5700000,710
7100000,887
7800000,1005
5900000,950
6200000,660
5500000,650
5000000,650
4050000,638
5050000,675
7400000,890
6800000,1006
3000000,420
5200000,850
6700000,1005
6900000,900
7950000,940
5460000,620
4950000,650
7000000,1000
8575000,1100
4800000,600
2700000,350
7900000,940
36000000,900
35000000,700
30000000,850
35000000,800
35000000,800
2100000,770
14500000,989
14900000,1550
3700000,550
2700000,416
3850000,510
2850000,305
12100000,1251
6800000,989
6000000,850
6850000,989
5500000,900
9200000,1500
5000000,650
17500000,1750
9400000,1240
16500000,1560
3700000,640
2700000,350
8000000,1050
22000000,1770
10200000,1230
3100000,450
5500000,655
32799999,780
32799999,780
11000000,550
12000000,510
17000000,1270
2900000,558
36100000,1237
3682000,715
11600000,1179
2100000,495
2700000,570
3600000,575
2865000,675
2374000,634
5200000,580
14000000,1185
62500000,2665
26500000,1305
13000000,995
10600000,1014
11000000,756
36100000,1237
3682000,715
3600000,575
2865000,675
11600000,1179
2100000,495
2700000,570
3985000,670
2200000,500
2300000,500
2650000,673
4600000,650
2374000,634
5000000,735
7200000,952
72000000,1141
6100000,1150
18500000,1250
4700000,650
4100000,690
4000000,670
4300000,654
3950000,630
3850000,635
22500000,1750
17000000,1250
6000000,687
11100000,1310
3500000,690
5200000,1070
5800000,540
6200000,1135
27500000,3000
15500000,1500
13799999,1440
3400000,704
3500000,688
5200000,667
2400000,625
4900000,650
11100000,1310
3500000,690
5200000,1070
5800000,540
6200000,1135
27500000,3000
15500000,1500
13799999,1440
3400000,704
3500000,688
5200000,667
2400000,625
4900000,650
4500000,610
14500000,1560
8200000,1150
29500000,2130
4900000,665
5000000,1155
5300000,1120
7000000,1000
3588000,690
3800000,655
3500000,655
3700000,650
8500000,1220
4900000,700
5400000,547
60100000,1435
3000000,650
3650000,665
4200000,690
3001000,675
6800000,1250
3300000,625
2850000,530
2100000,395
6300000,1090
6400000,1010
6000000,1010
5400000,547
60100000,1435
3000000,650
3650000,665
4200000,690
3001000,675
7200000,952
6100000,1150
4000000,568
7500000,1107
2580000,605
3594000,850
5760000,778
6952000,802
2451000,570
6137000,829
5600000,710
8600000,1227
8100000,1108
8100000,1032
7500000,985
6800000,880
6200000,829
5600000,802
6000000,709
4100000,534
4800000,965
3700000,730
4600000,930
3350000,650
85000000,2350
6500000,650
18000000,1462
8500000,676
125000000,2904
80000000,1500
28800000,1638
30000000,1701
45100000,2376
39200000,2061
25400000,1431
15200000,1050
20000000,1260
29000000,1404
30000000,1200
46500000,1413
33400000,2016
2035000,574
8500000,507
12500000,1151
6600000,550
6900000,565
6800000,547
6700000,556
3000000,950
4500000,600
5300000,600
3000000,600
4500000,800
5300000,275
10500000,1050
10000000,1155
16000000,1350
17000000,1760
11700000,1650
7500000,725
23000000,1300
3000000,950
4500000,600
5300000,600
3000000,600
4500000,800
5300000,275
3000000,275
2000000,275
2000000,275
5300000,275
5300000,275
4500000,1065
2000000,275
2000000,275
5300000,275
3000000,275
2000000,275
5300000,275
5300000,275
2000000,275
5300000,275
5300000,275
2000000,275
2000000,275
2000000,275
2000000,275
8500000,275
5300000,275
2000000,275
5300000,275
5300000,275
3000000,275
2000000,275
3000000,530
8800000,600
17000000,1245
20700000,1257
18000000,1175
17500000,1053
18500000,1052
3874000,730
8500000,650
9600000,650
10800000,650
18500000,1050
21000000,1250
15000000,1050
21000000,1150
30000000,1450
30000000,1450
27000000,1550
22100000,1075
22100000,1075
8500000,650
9600000,650
10800000,650
18500000,1050
21000000,1250
15000000,1050
21000000,1150
30000000,1450
30000000,1450
27000000,1550
22100000,1075
22100000,1075
18500000,1350
10500000,650
16500000,1050
9600000,650
28500000,1350
28000000,1650
19000000,1050
18800000,1350
27000000,1650
15000000,950
24000000,1300
11200000,600
19000000,1165
27500000,1357
23000000,1500
10000000,650
17000000,1050
15500000,1050
14500000,950
20500000,1150
22500000,1100
26500000,1450
23000000,1100
18000000,1350
19000000,1350
29000000,1650
16500000,1050
20500000,1150
19000000,1150
20500000,1050
9800000,585
9800000,585
21000000,1250
14500000,950
16500000,1050
18000000,1050
21000000,1250
15000000,1050
29000000,1650
29000000,1650
16500000,1050
28200000,1170
26400000,1014
16800000,764
18600000,820
17500000,1050
26000000,1350
28000000,1350
16000000,1350
17000000,1760
11700000,1650
7500000,725
23000000,1300
10900000,654
7400000,400
7300000,450
17600000,1100
7500000,385
36100000,1346
6000000,810
4200000,700
9800000,1417
3500000,783
5800000,770
2700000,400
4200000,750
6400000,1180
3500000,565
9500000,850
7000000,450
17500000,950
19500000,1250
26000000,1350
19500000,1200
16000000,850
19000000,1350
27000000,1650
27000000,1650
18000000,1350
20500000,1150
26500000,1450
18500000,1350
20000000,1250
19100000,1100
30000000,1450
22500000,1100
12000000,560
12000000,1000
28000000,1580
21500000,1345
2170000,505
19500000,1225
9000000,1026
3500000,900
9500000,852
13000000,1157
16000000,874
35000000,969
34800000,950
7900000,1115
4700000,690
3800000,422
9800000,936
5900000,576
11299999,600
15500000,907
8725000,1175
13200000,1525
6800000,543
31000000,1267
40000000,1735
58500000,3410
40199999,1850
5000000,702
6500000,566
21500000,1310
6400000,506
6400000,509
7000000,950
2350000,685
29500000,2415
10500000,900
11000000,1440
2800000,650
8000000,820
2600000,590
6000000,650
4800000,700
17500000,1600
10000000,1140
16500000,1502
17500000,1600
4800000,650
14000000,1600
10000000,1140
10000000,1325
12500000,1725
13500000,1256
16500000,1600
16500000,1600
21000000,2030
12500000,1725
16000000,1680
17000000,1810
10000000,1325
12500000,1725
9500000,1210
31100000,3275
16000000,1680
17000000,1810
10000000,1325
12500000,1725
9500000,1210
31100000,3275
30400000,3205
12300000,1305
11600000,1230
16000000,1725
9600000,1210
16500000,1660
18500000,1700
15500000,1130
17900000,1810
30400000,3205
13300000,1482
28000000,1890
8500000,484
180000000,2200
3000000,320
29400000,1618
31000000,1475
24500000,1350
22000000,1300
16000000,970
17500000,1500
31500000,1786
26500000,1500
47000000,1920
21000000,1350
6100000,400
100000000,2000
13500000,640
5500000,510
4500000,650
16500000,1175
4800000,661
21500000,1500
360000000,5476
5500000,619
5600000,619
9500000,1250
7000000,995
16000000,1700
10500000,1420
7600000,1100
7400000,1080
7000000,1080
3200000,410
5000000,650
6400000,925
8500000,1200
8700000,1160
8200000,1005
6500000,1255
8300000,1256
21500000,1500
360000000,5476
18500000,1150
9350000,1236
10000000,1700
7000000,1003
5800000,1000
4800000,653
11000000,1575
8500000,1089
48000000,1296
72500000,2014
70000000,1503
175000000,1903
86500000,1376
120000000,3600
75000000,1706
2600000,686
4500000,650
16500000,1175
4800000,661
21500000,1500
360000000,5476
18500000,1150
9000000,1005
7500000,1220
11000000,600
22500000,1189
14500000,1000
14500000,1100
13000000,1100
6500000,650
7000000,400
7800000,1055
5100000,710
9000000,417
17000000,999
21500000,1080
32000000,1300
5300000,1100
3800000,738
16000000,900
23000000,1500
16299999,900
13899999,800
21000000,900
20000000,900
21000000,900
18500000,1200
20500000,900
12500000,510
40000000,1735
11000000,670
150000000,2710
19500000,800
55000000,1388
45000000,1100
400000000,3638
70000000,1700
85000000,1700
35000000,2450
18000000,1165
11200000,1025
3100000,450
7500000,900
4500000,603
13500000,1340
16000000,1550
11000000,1160
6500000,650
5600000,610
7200000,860
5500000,640
6000000,560
13200000,1260
6000000,850
11500000,1095
15000000,1500
5000000,500
5600000,635
4600000,610
9500000,1065
12700000,1251
9500000,1065
14000000,1320
10500000,1136
9900000,1125
10000000,1098
13000000,1300
7800000,735
4200000,640
9800000,1090
4500000,800
15000000,1300
5300000,560
16000000,1400
11100000,1117
12700000,1125
6000000,675
11000000,1100
5000000,650
6500000,675
5500000,450
13000000,1300
5500000,640
7200000,860
6000000,560
5500000,650
10500000,1075
7000000,735
4600000,600
8000000,1000
10600000,1070
11500000,1182
10500000,911
11100000,1117
12700000,1125
9900000,1025
3800000,555
3600000,600
3700000,550
3000000,600
7600000,950
4600000,610
9500000,1065
12700000,1251
9500000,1065
14000000,1320
10500000,1136
9900000,1125
10000000,1098
13000000,1300
7800000,735
4200000,640
9800000,1090
4500000,800
15000000,1300
5300000,560
16000000,1400
11100000,1117
12700000,1125
6000000,675
11000000,1100
7200000,860
6000000,560
5500000,650
10500000,1075
7000000,735
4600000,600
8000000,1000
10600000,1070
11500000,1182
10500000,911
11100000,1117
12700000,1125
9900000,1025
3800000,555
3600000,600
3700000,550
3000000,600
7600000,950
33000000,1472
2100000,370
8000000,715
21000000,1771
25500000,1650
16000000,1650
112500000,1340
5500000,690
13000000,816
8000000,810
8500000,1000
14500000,1250
6990000,473
8500000,1000
14000000,1016
10000000,785
13000000,1290
11500000,1227
17500000,1630
14000000,1200
14000000,1200
19000000,1500
70000000,1700
85000000,1700
85000000,2000
85000000,1700
8200000,525
12000000,540
2800000,525
29000000,1350
11000000,1131
9500000,1400
6500000,800
3700000,500
10500000,900
12000000,1050
8500000,1225
18000000,1100
25000000,1400
14000000,1000
30000000,1480
9500000,1150
9900000,1150
18500000,1700
8200000,1015
9300000,1150
5800000,750
14200000,1800
15500000,1605
7900000,1040
10500000,1580
11000000,1255
5300000,660
10100000,1580
10000000,1100
13000000,1150
11399999,1133
31500000,1423
23300000,1500
110000000,3300
10000000,440
3500000,475
9200000,750
29000000,1050
56000000,2200
15500000,600
8000000,640
7200000,657
7500000,550
18000000,1309
16200000,1850
15500000,680
15000000,880
15000000,880
14000000,690
13500000,950
23000000,925
7500000,650
9000000,990
6500000,610
8000000,806
19000000,1050
15000000,880
15000000,880
14000000,690
13500000,950
56000000,2200
23000000,925
11100000,655
52500000,1144
9500000,1200
13500000,1050
18000000,1335
12600000,1150
12600000,1150
12600000,1150
38000000,2120
12600000,1150
25000000,1950
17100000,1150
17100000,1100
92500000,2670
7500000,560
16500000,1166
7500000,650
9000000,990
6500000,610
8000000,806
19000000,1050
7500000,650
5500000,600
5500000,580
5600000,630
6000000,620
9500000,1056
18000000,675
28000000,730
70000000,2000
17500000,650
6200000,400
9500000,1000
12200000,675
12400000,674
28400000,1733
12400000,673
12100000,690
28400000,1733
14000000,1530
13200000,768
6656000,488
9750000,711
5300000,560
50000000,7000
13200000,768
6656000,488
9750000,711
7000000,448
15000000,971
5300000,560
9250000,770
20099999,1145
16500000,1250
17100000,1100
9500000,1005
7500000,757
9500000,1005
7500000,757
12000000,957
37500000,2195
41500000,2195
48000000,3230
16500000,750
10000000,750
8500000,750
16000000,750
8500000,585
10500000,750
11000000,750
24500000,1650
11299999,900
5700000,620
13200000,935
4700000,885
4600000,885
2900000,700
24800000,958
28500000,997
10000000,546
5900000,1015
4800000,600
55000000,1950
2300000,480
13600000,600
13600000,600
5200000,534
21000000,730
3300000,342
5545000,902
5556000,902
7311000,1149
24000000,1250
11399999,448
7300000,1149
6000000,935
4500000,650
6200000,655
4500000,645
21000000,1280
21500000,1280
4400000,665
2399000,620
2650000,600
3700000,440
2100000,245
3700000,440
3700000,440
3700000,440
12500000,745
4500000,457
2200000,400
3300000,612
3700000,440
4500000,457
2200000,400
3300000,612
15000000,800
12500000,878
14000000,1077
33000000,1650
2300000,690
29000000,1960
8500000,1000
6000000,575
60000000,2500
33000000,1800
35000000,1835
33000000,1667
24500000,1300
3467000,530
14000000,800
7000000,780
6400000,400
6000000,650
9000000,550
6370000,800
3310000,780
2770000,655
2670000,630
2110000,495
23000000,1265
25000000,850
14000000,900
3700000,425
2000000,400
2200000,450
200000000,3000
4600000,545
3000000,340
2000000,540
2400000,560
6300000,750
7600000,550
2600000,360
3800000,340
10500000,1190
13500000,1235
21000000,1129
16500000,839
10000000,600
11000000,600
8100000,846
65300000,3025
38700000,1295
51500000,3465
6500000,566
22000000,1527
17500000,1188
17500000,1188
12600000,1012
32000000,1950
8000000,670
16000000,1944
8000000,972
16000000,1944
8100000,972
10200000,1050
13500000,1235
14200000,1440
5300000,612
5500000,676
5500000,650
16000000,1600
4300000,650
7500000,1050
8000000,1150
7500000,850
7500000,1085
30000000,2950
5500000,560
8000000,1050
6000000,700
4500000,650
5500000,649
5500000,660
14800000,1600
11800000,1150
13600000,1760
5700000,650
5700000,650
6500000,750
4200000,630
5700000,650
4800000,540
30000000,2355
21000000,2250
5300000,687
6300000,850
2050000,1000
31500000,2415
30500000,2415
31500000,2415
4500000,450
20000000,1250
22000000,1530
10000000,1340
11500000,1340
6300000,850
10000000,1340
8009999,965
8400000,965
7430000,965
21400000,1560
25700000,1505
2100000,450
3300000,670
62000000,1450
2500000,540
19000000,1267
14900000,1245
14000000,1183
3500000,670
3500000,1000
3500000,400
2005000,500
2011000,595
2014999,597
2021000,598
2100000,600
2116000,625
13000000,630
13000000,650
37000000,900
19900000,2300
32100000,1100
15000000,1400
15000000,1016
12700000,1016
31000000,585
32100000,1550
18200000,1550
11000000,1050
24500000,585
12200000,1120
17500000,632
20500000,1050
39600000,1060
19000000,1485
12000000,1150
10700000,675
32599999,675
18900000,1600
9500000,1091
9200000,585
11200000,620
6000000,725
16800000,2700
16500000,1180
18000000,1180
16800000,1180
16500000,1180
11200000,1180
6000000,725
16800000,2700
16500000,1180
18000000,1180
16800000,1180
16500000,1180
21900000,1180
3200000,1412
23500000,410
7500000,1300
15000000,495
220000000,1450
3500000,7600
12500000,550
16800000,880
17500000,922
16500000,1050
14800000,1020
15000000,915
18000000,915
4500000,1020
16000000,620
7600000,1515
28000000,1055
11100000,4000
10500000,1245
11299999,1165
8600000,750
8600000,608
16000000,550
21000000,890
24000000,620
8725000,1000
31500000,1135
42500000,1010
4700000,1200
4500000,1005
3200000,980
3500000,680
3300000,710
4000000,690
3500000,715
3350000,700
2650000,670
2300000,560
2600000,445
5700000,560
5800000,1060
6000000,1064
5200000,1070
4900000,995
3800000,985
4000000,675
3700000,665
2300000,680
3500000,575
3720000,975
4200000,930
3500000,750
28000000,570
11100000,4000
10500000,1245
11299999,1165
8600000,750
8600000,608
15000000,550
18000000,2150
15000000,1069
24000000,686
21000000,1000
24000000,620
8725000,1000
31500000,1135
42500000,1010
4700000,1200
4500000,1005
3200000,980
3500000,680
3300000,710
14000000,690
14700000,650
6800000,1000
16000000,740
10000000,2115
90000000,1595
10500000,5150
11700000,1503
5300000,1150
7500000,650
9800000,1050
43700000,585
63000000,1950
29000000,2700
37000000,1350
3800000,1426
11500000,930
6000000,650
7800000,690
8200000,1000
16200000,1090
12900000,1050
11500000,666
18500000,600
17500000,1000
10200000,1070
14100000,695
27000000,625
31200000,1361
15000000,1470
18000000,2150
15000000,1069
24000000,686
12500000,1000
39900000,765
11500000,1556
40000000,1200
22200000,1850
19500000,1270
16500000,1073
14000000,1250
20200000,775
11200000,1252
15500000,700
2625000,2000
22000000,675
100000000,1300
145000000,2320
6200000,3320
7900000,900
6900000,1065
4400000,850
5700000,610
4000000,670
6350000,600
4500000,900
6700000,610
4400000,980
65000000,610
3200000,2695
2400000,510
6500000,565
2700000,1015
2400000,540
2350000,565
4300000,540
3200000,750
2300000,585
2300000,500
3250000,500
2500000,585
2450000,453
3000000,500
4500000,605
2800000,710
2750000,510
2650000,590
2700000,560
2200000,600
3800000,500
7900000,556
6900000,1065
4400000,850
5700000,610
4000000,670
6350000,600
4500000,900
6700000,610
4400000,980
31000000,610
2110000,900
2077000,545
10000000,620
20500000,750
8600000,908
9300000,650
12800000,750
52500000,913
8900000,2700
9800000,562
6000000,750
3500000,745
4100000,635
7000000,600
8000000,900
4700000,852
5200000,690
7500000,600
8750000,1000
5200000,1205
7100000,560
7300000,1085
13000000,1000
15500000,1185
15500000,1435
15000000,1530
4800000,1730
12000000,560
2600000,1600
5300000,390
9500000,600
7500000,1075
13500000,1000
12900000,1300
9200000,1235
15500000,556
2476000,913
13200000,540
3700000,935
6000000,400
21500000,373
7500000,1050
4900000,650
17000000,550
8000000,815
11500000,340
11700000,650
7500000,550
7000000,550
8500000,400
11700000,450
4400000,480
11500000,305
8800000,441
9000000,500
8500000,350
28000000,380
2580000,800
9350000,645
4000000,1195
14000000,600
6500000,1100
5000000,929
16000000,791
34000000,1290
3700000,1540
4400000,925
8800000,670
5200000,1085
4000000,685
6200000,670
5000000,693
6500000,640
6200000,1690
2750000,1215
6500000,385
8000000,1120
4950000,1235
7500000,685
9000000,980
6000000,1100
4500000,758
4700000,689
7600000,648
8000000,1595
5500000,1250
2050000,840
20000000,500
2476000,1250
13200000,540
8600000,935
8000000,1045
5100000,1350
6500000,1511
8500000,686
6200000,930
5000000,693
6500000,640
6200000,1690
2750000,1215
6500000,385
8000000,1120
4950000,1235
7500000,685
9000000,980
6000000,1100
4500000,758
4700000,689
7600000,648
8000000,1595
5500000,1250
2050000,840
20000000,500
4000000,1250
12000000,765
19400000,936
24100000,1810
16200000,2090
6193000,1555
35000000,1150
10500000,1855
2700000,1187
15200000,585
3700000,1286
8800000,640
5400000,900
10300000,620
52500000,1220
2600000,2703
4400000,645
3400000,880
4600000,600
8655000,680
5000000,1055
3900000,1285
7500000,975
3624000,767
3900000,895
2451000,975
5000000,570
7031000,1030
18500000,1125
14500000,1020
42500000,791
39000000,1505
8900000,1627
27500000,724
2500000,1404
2357000,540
3600000,555
10500000,450
11500000,625
10000000,650
10000000,1150
7500000,1100
10500000,700
8000000,1150
7100000,700
6000000,700
4300000,885
6900000,685
10500000,685
15400000,850
39000000,1200
31000000,2150
15000000,2150
39000000,1109
12200000,1902
12000000,1250
10300000,1210
31000000,1050
65000000,1300
16299999,2450
23500000,1063
24500000,1050
20000000,1300
25000000,1250
25000000,1350
15500000,1357
11000000,1100
10500000,585
16500000,780
26500000,1050
17200000,1830
10000000,1100
23000000,650
21000000,1360
23500000,1050
6050000,1100
4800000,1246
14500000,695
16800000,950
12000000,764
8500000,950
7200000,594
31000000,508
65000000,1300
16299999,2450
23500000,1063
24500000,1050
20000000,1300
25000000,1250
25000000,1350
15500000,1357
11000000,1100
10500000,585
16500000,780
26500000,1050
17200000,1830
10000000,1100
8000000,650
7100000,700
6000000,700
4300000,885
6900000,685
6500000,685
5300000,675
10800000,560
11100000,653
8000000,550
2800000,1375
6800000,400
3300000,890
4100000,530
6500000,590
7600000,940
6400000,1760
5500000,1180
2800000,1115
3000000,525
5400000,500
13000000,675
21500000,775
6500000,1225
5300000,675
10800000,560
11100000,653
8000000,550
2800000,1375
6800000,400
3300000,890
4100000,530
6500000,590
7600000,940
6400000,1760
5500000,1180
2800000,1115
3000000,525
3300000,500
4500000,530
17000000,390
19000000,1050
20500000,1150
21000000,1050
24000000,1250
15000000,1300
9800000,950
27000000,585
25000000,1250
21500000,1357
39000000,900
31000000,2150
15000000,2150
39000000,1109
12200000,1902
12000000,1250
10300000,1210
8800000,1050
5100000,779
7300000,383
20500000,640
21000000,1050
24000000,1250
15000000,1300
9800000,950
27000000,585
25000000,1250
21500000,1357
7300000,900
6100000,640
15800000,770
2900000,1325
4500000,695
9600000,650
11000000,1083
4800000,1364
2900000,1110
6300000,695
7050000,1050
7500000,1000
9600000,1050
11000000,1083
4800000,1364
2900000,1110
6300000,695
7050000,1050
7500000,1000
53000000,1050
5700000,1900
42500000,900
4665000,1777
8800000,662
7500000,820
20500000,685
14500000,1155
35000000,829
15000000,1805
58500000,815
28600000,3410
28600000,1766
18000000,1733
15500000,1342
6300000,1047
7100000,980
11000000,700
15000000,620
32500000,950
2164000,1100
31500000,571
5994000,1356
2534000,750
17000000,642
19700000,1080
2105000,880
11500000,495
25000000,800
26500000,1356
4800000,1100
18500000,650
5800000,1242
18500000,675
10000000,1242
2350000,650
6800000,625
7800000,565
3200000,956
4800000,650
3100000,580
2600000,650
10500000,650
6000000,680
4500000,650
22000000,560
10000000,2000
15500000,1140
15500000,1530
32500000,1530
3100000,940
2100000,445
100000000,400
160000000,3321
25000000,6381
120000000,2394
6500000,2893
17000000,974
80000000,800
250000000,2150
60000000,4200
75000000,1100
150000000,1500
25000000,2305
55000000,2500
50000000,1225
4350000,1800
40000000,800
4700000,600
4300000,840
3700000,900
120000000,890
3300000,3500
153600000,620
80000000,3200
250000000,2150
60000000,4200
10500000,1100
12000000,723
10000000,617
15500000,552
13799999,845
19600000,1137
21000000,1561
19900000,784
4100000,1550
13500000,650
3750000,1560
5700000,340
7600000,550
9200000,1098
8000000,1310
4200000,1109
180000000,650
62500000,2110
260000000,1165
90000000,5642
85000000,1396
3700000,1106
3500000,790
4100000,670
13500000,650
7200000,1560
3750000,699
5700000,340
7600000,550
9200000,1098
8000000,1310
4200000,1109
9000000,650
8500000,1128
9400000,1258
6800000,1245
11200000,1101
12100000,1532
9200000,1515
25500000,1175
11600000,3000
9000000,1585
9000000,1220
14500000,1220
8900000,1655
9500000,1150
12000000,1100
4000000,1600
13899999,620
9400000,1690
5500000,1192
9000000,665
11000000,1220
8500000,1470
32300000,1040
8900000,2900
35500000,1475
11000000,3400
6000000,1500
7500000,650
24500000,1055
9000000,2200
5000000,1129
25000000,690
11900000,3000
9000000,1585
9100000,1220
14500000,1180
11500000,1109
18500000,1065
28500000,1130
11500000,1735
28500000,1065
11000000,1495
10000000,650
46000000,650
70000000,1174
140000000,1466
52500000,3168
170000000,946
57000000,2963
180000000,1203
62500000,2110
260000000,1165
90000000,5642
85000000,1396
3700000,1106
3500000,790
8100000,670
4500000,1250
7700000,653
11200000,1125
8500000,1400
4500000,850
18000000,550
7600000,1006
16000000,1127
6500000,950
5100000,500
2600000,427
18000000,384
420000000,1050
12100000,8511
8400000,1525
8250000,1139
5800000,1139
5800000,1060
3600000,1025
3500000,690
7053000,670
4713000,1085
11500000,725
14800000,1450
14800000,1980
16500000,1985
2800000,1482
3500000,482
11500000,670
4200000,1450
2800000,555
65000000,482
95100000,1600
65000000,3500
110000000,1600
85000000,2590
30000000,3733
80000000,1800
120000000,2000
70000000,2600
6800000,1800
7700000,1065
8100000,510
8700000,1079
4500000,1100
8000000,555
3850000,1221
3900000,650
9000000,380
19000000,1171
13500000,1503
8400000,1415
13500000,776
12000000,1414
8500000,1302
20200000,966
10200000,1040
8500000,585
5300000,600
7800000,545
119900000,1365
4300000,3140
7200000,526
4199000,937
70000000,1278
6800000,1800
4500000,1065
7700000,693
8100000,510
4200000,1079
11500000,640
8000000,1182
16000000,1000
14500000,1600
6500000,1655
9500000,675
